,city,country,latitude,longitude,date,temperature,humidity,cloudiness,windspeed
323,Palmeira,BR,-25.4294,-50.0064,,12.83,90,99,2.74
324,Contamana,PE,-7.3333,-75.0167,,23.28,92,47,1.24
325,Santa Fe,AR,-31.6333,-60.7,,15.64,60,0,1.79
326,Saravena,CO,6.9538,-71.8752,,20.99,91,97,1.39
327,Nuquí,CO,5.7125,-77.2708,,24.88,86,100,0.74
328,Rancharia,BR,-22.2292,-50.8931,,18.51,90,99,5.23
329,Careiro da Várzea,BR,-3.2003,-59.8119,,26.34,90,99,1.16
330,Corn Island,NI,12.1694,-83.0418,,28.06,78,13,3.15
331,Gibara,CU,21.1097,-76.1317,,24.73,87,58,2.49
332,Bodden Town,KY,19.2833,-81.25,,27.78,86,65,0.89
333,Arroyo de la Encomienda,ES,41.6096,-4.7969,,12.34,67,20,1.54
334,Cabañas,CU,22.9758,-82.9219,,25.31,91,100,3.71
335,Puerto López,CO,4.0845,-72.956,,22.36,93,91,1.75
336,Pontes e Lacerda,BR,-15.2261,-59.3353,,20.17,82,100,0.98
337,Tocache,PE,-8.1842,-76.5125,,22.45,88,79,0.17
338,San Luis,AR,-33.295,-66.3356,,20.01,27,0,8.19
339,Yantzaza,EC,-3.8278,-78.7594,,18.04,99,62,0.22
340,Ascension,US,30.2169,-90.9001,,20.53,97,90,0
341,Mucurapo,TT,10.6667,-61.5333,,23.96,96,100,5.54
342,Colón,PA,9.3592,-79.9014,,24.86,92,59,1.34
343,Santa Marta,CO,11.2408,-74.199,,25.69,84,36,4.34
344,Envira,BR,-7.3,-70.2167,,22.02,99,97,2.35
345,Montería,CO,8.748,-75.8814,,23.5,93,72,1.46
346,Guanare,VE,9.0418,-69.7421,,21.96,88,99,1.2
347,Key Largo,US,25.0865,-80.4473,,26.92,83,100,5.19
348,Cravo Norte,CO,6.3017,-70.2041,,23.53,91,100,2.64
349,Manacapuru,BR,-3.2997,-60.6206,,24.32,91,99,1.65
350,Cubará,CO,7.0008,-72.1085,,20.85,86,97,1.95
351,Vicuña,CL,-30.0319,-70.7081,,7.85,36,0,0.09
352,Bahía Solano,CO,6.2262,-77.4044,,25.78,81,67,0.33
353,Prainha,BR,-1.8,-53.48,,24.29,83,75,1.39
